,ip,req,timestamp,marker,resourceID
32,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:21:25 2018,,
33,146.203.130.213,GET /project/1/resources,19/Jul/2018:14:21:26 +0000,,
34,146.203.130.213,GET /project/1/resources,Thu Jul 19 14:21:25 2018,,
35,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:21:26 +0000,,
36,146.203.130.213,GET /,19/Jul/2018:14:21:27 +0000,,
37,146.203.130.213,GET /,Thu Jul 19 14:21:27 2018,,
38,138.185.126.122,GET /,19/Jul/2018:14:23:35 +0000,,
39,146.203.130.213,GET /,19/Jul/2018:14:24:31 +0000,,
40,146.203.130.213,GET /,Thu Jul 19 14:24:31 2018,,
41,84.242.188.202,GET /,19/Jul/2018:14:26:26 +0000,,
42,146.203.121.6,GET /about,19/Jul/2018:14:27:58 +0000,,
43,146.203.121.6,GET /about,Thu Jul 19 14:27:58 2018,,
44,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:28:04 2018,evalEnd,
45,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:28:04 +0000,evalEnd,
46,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:28:05 +0000,,
47,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:28:05 2018,,
48,146.203.121.6,GET /newevaluation?resourceid=3808,19/Jul/2018:14:28:12 +0000,evalStart,3808
49,146.203.121.6,GET /newevaluation?resourceid=3808,Thu Jul 19 14:28:12 2018,evalStart,3808
50,146.203.121.6,GET /about,19/Jul/2018:14:32:12 +0000,,
51,146.203.121.6,GET /about,Thu Jul 19 14:32:12 2018,,
52,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:32:18 2018,evalEnd,
53,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:32:18 +0000,evalEnd,
54,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:32:18 +0000,,
55,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:32:18 2018,,
56,146.203.121.6,GET /project/1/resources?,19/Jul/2018:14:32:55 +0000,,
57,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:32:55 +0000,,
58,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:32:55 2018,,
59,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:32:55 +0000,,
60,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:32:55 +0000,,
61,129.171.6.166,GET /,Thu Jul 19 14:36:18 2018,,
62,129.171.6.166,GET /,19/Jul/2018:14:36:18 +0000,,
63,129.171.6.166,GET /static/img/icon-32.png,19/Jul/2018:14:36:18 +0000,,
64,81.105.109.149,GET /,Thu Jul 19 14:36:19 2018,,
65,81.105.109.149,GET /,19/Jul/2018:14:36:19 +0000,,
66,129.171.6.166,GET /static/img/favicon.ico,19/Jul/2018:14:36:19 +0000,,
67,81.105.109.149,GET /static/img/icon-32.png,19/Jul/2018:14:36:19 +0000,,
68,129.67.193.169,GET /,Thu Jul 19 14:36:19 2018,,
69,129.67.193.169,GET /,19/Jul/2018:14:36:19 +0000,,
70,129.67.193.169,GET /static/img/icon-32.png,19/Jul/2018:14:36:19 +0000,,
71,81.105.109.149,GET /static/img/favicon.ico,19/Jul/2018:14:36:20 +0000,,
72,146.203.121.6,GET /,Thu Jul 19 14:36:21 2018,,
73,146.203.121.6,GET /,19/Jul/2018:14:36:21 +0000,,
74,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:36:21 +0000,,
75,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:36:21 +0000,,
76,129.67.193.169,GET /static/img/favicon.ico,19/Jul/2018:14:36:22 +0000,,
77,146.203.121.6,GET /login,Thu Jul 19 14:36:24 2018,,
78,146.203.121.6,GET /login,19/Jul/2018:14:36:24 +0000,,
79,81.105.109.149,GET /register,19/Jul/2018:14:36:27 +0000,,
80,81.105.109.149,GET /register,Thu Jul 19 14:36:27 2018,,
81,173.66.110.141,GET /,Thu Jul 19 14:36:36 2018,,
82,173.66.110.141,GET /,19/Jul/2018:14:36:36 +0000,,
83,173.66.110.141,GET /static/img/icon-32.png,19/Jul/2018:14:36:36 +0000,,
84,173.66.110.141,GET /static/img/favicon.ico,19/Jul/2018:14:36:38 +0000,,
85,129.171.150.188,GET /,Thu Jul 19 14:36:38 2018,,
86,129.171.150.188,GET /,19/Jul/2018:14:36:38 +0000,,
87,129.171.150.188,GET /static/img/icon-32.png,19/Jul/2018:14:36:38 +0000,,
88,81.105.109.149,POST /register,Thu Jul 19 14:36:38 2018,,
89,81.105.109.149,POST /register,19/Jul/2018:14:36:38 +0000,,
90,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:14:36:39 +0000,,
91,81.105.109.149,GET /login,Thu Jul 19 14:36:39 2018,,
92,81.105.109.149,GET /login,19/Jul/2018:14:36:39 +0000,,
93,173.66.110.141,GET /register,19/Jul/2018:14:36:40 +0000,,
94,173.66.110.141,GET /register,Thu Jul 19 14:36:40 2018,,
95,54.86.66.252,GET /project/1/resources,19/Jul/2018:14:36:44 +0000,,
96,54.86.66.252,GET /project/1/resources,Thu Jul 19 14:36:44 2018,,
97,54.175.74.27,GET /about,Thu Jul 19 14:36:45 2018,,
98,54.175.74.27,GET /about,19/Jul/2018:14:36:45 +0000,,
99,146.203.121.6,GET /,Thu Jul 19 14:36:50 2018,,
100,146.203.121.6,GET /,19/Jul/2018:14:36:50 +0000,,
101,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:36:50 +0000,,
102,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:36:50 +0000,,
103,146.203.121.6,GET /login,Thu Jul 19 14:36:52 2018,,
104,146.203.121.6,GET /login,19/Jul/2018:14:36:52 +0000,,
105,129.171.150.188,GET /login,Thu Jul 19 14:36:54 2018,,
106,129.171.150.188,GET /login,19/Jul/2018:14:36:54 +0000,,
107,129.171.150.188,GET /forgotpassword,Thu Jul 19 14:36:57 2018,,
108,129.171.150.188,GET /forgotpassword,19/Jul/2018:14:36:57 +0000,,
109,129.171.150.188,POST /sentpassword,Thu Jul 19 14:37:01 2018,,
110,129.171.150.188,POST /sentpassword,19/Jul/2018:14:37:01 +0000,,
111,129.171.150.188,GET /favicon.ico,19/Jul/2018:14:37:01 +0000,,
112,129.171.150.188,GET /favicon.ico,Thu Jul 19 14:37:01 2018,,
113,173.66.110.141,POST /register,Thu Jul 19 14:37:40 2018,,
114,173.66.110.141,POST /register,19/Jul/2018:14:37:40 +0000,,
115,173.66.110.141,GET /login,Thu Jul 19 14:37:40 2018,,
116,173.66.110.141,GET /login,19/Jul/2018:14:37:40 +0000,,
117,173.66.110.141,POST /login,Thu Jul 19 14:37:46 2018,,
118,173.66.110.141,POST /login,19/Jul/2018:14:37:46 +0000,,
119,173.66.110.141,GET /,Thu Jul 19 14:37:46 2018,,
120,173.66.110.141,GET /,19/Jul/2018:14:37:46 +0000,,
121,173.66.110.141,GET /login,Thu Jul 19 14:37:57 2018,,
122,173.66.110.141,GET /login,19/Jul/2018:14:37:57 +0000,,
123,173.66.110.141,POST /login,Thu Jul 19 14:37:59 2018,,
124,173.66.110.141,POST /login,19/Jul/2018:14:37:59 +0000,,
125,173.66.110.141,GET /,Thu Jul 19 14:37:59 2018,,
126,173.66.110.141,GET /,19/Jul/2018:14:37:59 +0000,,
127,146.203.121.6,GET /newevaluation?resourceid=2450,19/Jul/2018:14:38:27 +0000,evalStart,2450
128,146.203.121.6,GET /newevaluation?resourceid=2450,Thu Jul 19 14:38:27 2018,evalStart,2450
129,146.203.121.6,GET /,19/Jul/2018:14:38:49 +0000,,
130,146.203.121.6,GET /,Thu Jul 19 14:38:49 2018,,
131,146.203.121.6,GET /,19/Jul/2018:14:38:49 +0000,,
132,173.66.110.141,GET /,Thu Jul 19 14:38:57 2018,,
133,173.66.110.141,GET /,19/Jul/2018:14:38:57 +0000,,
134,173.66.110.141,GET /login,Thu Jul 19 14:38:59 2018,,
135,173.66.110.141,GET /login,19/Jul/2018:14:38:59 +0000,,
136,173.66.110.141,POST /login,Thu Jul 19 14:39:02 2018,,
137,173.66.110.141,POST /login,19/Jul/2018:14:39:02 +0000,,
138,173.66.110.141,GET /,Thu Jul 19 14:39:02 2018,,
139,173.66.110.141,GET /,19/Jul/2018:14:39:02 +0000,,
140,173.66.110.141,GET /about,Thu Jul 19 14:39:08 2018,,
141,173.66.110.141,GET /about,19/Jul/2018:14:39:08 +0000,,
142,173.66.110.141,GET /project/1/resources,19/Jul/2018:14:39:10 +0000,,
143,173.66.110.141,GET /project/1/resources,Thu Jul 19 14:39:10 2018,,
144,129.171.150.188,GET /about,Thu Jul 19 14:39:22 2018,,
145,129.171.150.188,GET /about,19/Jul/2018:14:39:22 +0000,,
146,129.171.150.188,GET /project/1/resources,19/Jul/2018:14:39:23 +0000,,
147,129.171.150.188,GET /project/1/resources,Thu Jul 19 14:39:23 2018,,
148,129.171.150.188,GET /newevaluation?resourceid=2372,Thu Jul 19 14:39:46 2018,evalStart,2372
149,129.171.150.188,GET /newevaluation?resourceid=2372,19/Jul/2018:14:39:46 +0000,evalStart,2372
150,129.171.150.188,GET /login?next=%2Fnewevaluation%3Fresourceid%3D2372,Thu Jul 19 14:39:46 2018,,
151,129.171.150.188,GET /login?next=%2Fnewevaluation%3Fresourceid%3D2372,19/Jul/2018:14:39:46 +0000,,
152,129.171.150.188,GET /register,19/Jul/2018:14:39:51 +0000,,
153,129.171.150.188,GET /register,Thu Jul 19 14:39:51 2018,,
154,173.66.110.141,GET /project/1/myevaluations?,19/Jul/2018:14:40:20 +0000,,
155,173.66.110.141,GET /project/1/myevaluations?,Thu Jul 19 14:40:20 2018,,
156,173.66.110.141,GET /project/1/myevaluations/,19/Jul/2018:14:40:20 +0000,,
157,173.66.110.141,GET /project/1/myevaluations/,Thu Jul 19 14:40:20 2018,,
158,173.66.110.141,GET /project/1/resources?,19/Jul/2018:14:40:21 +0000,,
159,173.66.110.141,GET /project/1/resources?,Thu Jul 19 14:40:21 2018,,
160,129.171.150.188,POST /register,Thu Jul 19 14:40:27 2018,,
161,129.171.150.188,POST /register,19/Jul/2018:14:40:27 +0000,,
162,129.171.150.188,GET /login,Thu Jul 19 14:40:27 2018,,
163,129.171.150.188,GET /login,19/Jul/2018:14:40:27 +0000,,
164,173.66.110.141,GET /newevaluation?resourceid=2337,19/Jul/2018:14:40:32 +0000,evalStart,2337
165,173.66.110.141,GET /newevaluation?resourceid=2337,Thu Jul 19 14:40:32 2018,evalStart,2337
166,129.171.150.188,POST /login,Thu Jul 19 14:40:38 2018,,
167,129.171.150.188,POST /login,19/Jul/2018:14:40:38 +0000,,
168,129.171.150.188,GET /,19/Jul/2018:14:40:38 +0000,,
169,129.171.150.188,GET /,Thu Jul 19 14:40:38 2018,,
170,129.171.150.188,GET /login,Thu Jul 19 14:40:43 2018,,
171,129.171.150.188,GET /login,19/Jul/2018:14:40:43 +0000,,
172,184.105.247.252,GET /,19/Jul/2018:14:40:44 +0000,,
173,184.105.247.252,GET /,Thu Jul 19 14:40:44 2018,,
174,146.203.121.6,GET /about,19/Jul/2018:14:42:17 +0000,,
175,146.203.121.6,GET /about,Thu Jul 19 14:42:17 2018,,
176,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:42:18 +0000,,
177,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:42:18 2018,,
178,146.203.121.6,GET /project/1/myevaluations?,Thu Jul 19 14:42:22 2018,,
179,146.203.121.6,GET /project/1/myevaluations?,19/Jul/2018:14:42:22 +0000,,
180,146.203.121.6,GET /project/1/myevaluations/,19/Jul/2018:14:42:23 +0000,,
181,146.203.121.6,GET /project/1/myevaluations/,Thu Jul 19 14:42:22 2018,,
182,146.203.121.6,GET /project/1/myevaluations/page/2?,19/Jul/2018:14:42:26 +0000,,
183,146.203.121.6,GET /project/1/myevaluations/page/2?,Thu Jul 19 14:42:25 2018,,
184,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:42:30 +0000,,
185,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:42:29 2018,,
186,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:42:33 +0000,,
187,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:42:33 2018,,
188,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:42:35 +0000,,
189,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:42:34 2018,,
190,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:42:37 +0000,,
191,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:42:37 2018,,
192,146.203.121.6,GET /newevaluation?resourceid=864,19/Jul/2018:14:42:41 +0000,evalStart,864
193,146.203.121.6,GET /newevaluation?resourceid=864,Thu Jul 19 14:42:41 2018,evalStart,864
194,162.243.135.99,GET /,Thu Jul 19 14:43:56 2018,,
195,162.243.135.99,GET /,19/Jul/2018:14:43:56 +0000,,
196,146.203.121.6,GET /newevaluation?resourceid=1456,19/Jul/2018:14:44:28 +0000,evalStart,1456
197,146.203.121.6,GET /newevaluation?resourceid=1456,Thu Jul 19 14:44:28 2018,evalStart,1456
198,146.203.121.6,GET /newevaluation?resourceid=2755,19/Jul/2018:14:44:36 +0000,evalStart,2755
199,146.203.121.6,GET /newevaluation?resourceid=2755,Thu Jul 19 14:44:36 2018,evalStart,2755
200,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:49:46 2018,evalEnd,
201,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:49:46 +0000,evalEnd,
202,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:49:47 +0000,,
203,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:49:46 2018,,
204,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:49:51 +0000,,
205,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:49:51 2018,,
206,146.203.121.6,GET /project/1/myevaluations/,19/Jul/2018:14:49:53 +0000,,
207,146.203.121.6,GET /project/1/myevaluations/,Thu Jul 19 14:49:53 2018,,
208,146.203.121.6,GET /project/1/myevaluations/page/2?,19/Jul/2018:14:49:56 +0000,,
209,146.203.121.6,GET /project/1/myevaluations/page/2?,Thu Jul 19 14:49:55 2018,,
210,146.203.121.6,GET /project/1/myevaluations/page/3?,19/Jul/2018:14:49:58 +0000,,
211,146.203.121.6,GET /project/1/myevaluations/page/3?,Thu Jul 19 14:49:57 2018,,
212,146.203.121.6,GET /project/1/resources?,19/Jul/2018:14:50:06 +0000,,
213,146.203.121.6,GET /project/1/resources?,Thu Jul 19 14:50:06 2018,,
214,146.203.121.6,GET /newevaluation?resourceid=3340,19/Jul/2018:14:50:26 +0000,evalStart,3340
215,146.203.121.6,GET /newevaluation?resourceid=3340,Thu Jul 19 14:50:26 2018,evalStart,3340
216,146.203.121.6,GET /newevaluation?resourceid=3828,19/Jul/2018:14:50:32 +0000,evalStart,3828
217,146.203.121.6,GET /newevaluation?resourceid=3828,Thu Jul 19 14:50:32 2018,evalStart,3828
218,146.203.121.6,GET /newevaluation?resourceid=2225,19/Jul/2018:14:50:40 +0000,evalStart,2225
219,146.203.121.6,GET /newevaluation?resourceid=2225,Thu Jul 19 14:50:40 2018,evalStart,2225
220,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:52:18 2018,evalEnd,
221,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:52:18 +0000,evalEnd,
222,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:52:19 +0000,,
223,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:52:19 2018,,
224,146.203.121.6,GET /newevaluation?resourceid=1750,19/Jul/2018:14:53:11 +0000,evalStart,1750
225,146.203.121.6,GET /newevaluation?resourceid=1750,Thu Jul 19 14:53:11 2018,evalStart,1750
226,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:53:47 2018,evalEnd,
227,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:53:48 +0000,evalEnd,
228,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:53:48 +0000,,
229,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:53:48 2018,,
230,146.203.121.6,GET /newevaluation?resourceid=2058,19/Jul/2018:14:54:15 +0000,evalStart,2058
231,146.203.121.6,GET /newevaluation?resourceid=2058,Thu Jul 19 14:54:14 2018,evalStart,2058
232,129.171.150.188,GET /login,Thu Jul 19 14:54:57 2018,,
233,129.171.150.188,GET /login,19/Jul/2018:14:54:57 +0000,,
234,129.171.150.188,POST /login,Thu Jul 19 14:55:05 2018,,
235,129.171.150.188,POST /login,19/Jul/2018:14:55:05 +0000,,
236,129.171.150.188,GET /,19/Jul/2018:14:55:05 +0000,,
237,129.171.150.188,GET /,Thu Jul 19 14:55:05 2018,,
238,129.171.150.188,GET /login,19/Jul/2018:14:55:11 +0000,,
239,129.171.150.188,GET /login,Thu Jul 19 14:55:11 2018,,
240,129.171.150.188,POST /login,Thu Jul 19 14:55:19 2018,,
241,129.171.150.188,POST /login,19/Jul/2018:14:55:19 +0000,,
242,129.171.150.188,GET /,19/Jul/2018:14:55:19 +0000,,
243,129.171.150.188,GET /,Thu Jul 19 14:55:19 2018,,
244,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:55:33 2018,evalEnd,
245,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:55:33 +0000,evalEnd,
246,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:55:33 +0000,,
247,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:55:33 2018,,
248,146.203.121.6,GET /newevaluation?resourceid=519,19/Jul/2018:14:55:58 +0000,evalStart,519
249,146.203.121.6,GET /newevaluation?resourceid=519,Thu Jul 19 14:55:58 2018,evalStart,519
250,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 14:58:19 2018,evalEnd,
251,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:14:58:19 +0000,evalEnd,
252,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:58:19 +0000,,
253,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:58:19 2018,,
254,129.171.150.188,GET /project/1/resources,19/Jul/2018:14:58:22 +0000,,
255,129.171.150.188,GET /project/1/resources,Thu Jul 19 14:58:22 2018,,
256,129.171.150.188,GET /newevaluation?resourceid=3785,19/Jul/2018:14:58:25 +0000,evalStart,3785
257,129.171.150.188,GET /newevaluation?resourceid=3785,Thu Jul 19 14:58:25 2018,evalStart,3785
258,146.203.121.6,GET /newevaluation?resourceid=421,19/Jul/2018:14:58:55 +0000,evalStart,421
259,146.203.121.6,GET /newevaluation?resourceid=421,Thu Jul 19 14:58:55 2018,evalStart,421
260,129.171.150.188,GET /project/1/resources,19/Jul/2018:14:59:17 +0000,,
261,129.171.150.188,GET /project/1/resources,Thu Jul 19 14:59:17 2018,,
262,146.203.121.6,GET /,Thu Jul 19 14:59:23 2018,,
263,146.203.121.6,GET /,19/Jul/2018:14:59:23 +0000,,
264,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:59:23 +0000,,
265,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:59:24 +0000,,
266,146.203.121.6,GET /login,Thu Jul 19 14:59:25 2018,,
267,146.203.121.6,GET /login,19/Jul/2018:14:59:25 +0000,,
268,129.171.150.188,GET /newevaluation?resourceid=676,19/Jul/2018:14:59:30 +0000,evalStart,676
269,129.171.150.188,GET /newevaluation?resourceid=676,Thu Jul 19 14:59:30 2018,evalStart,676
270,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 15:00:17 2018,evalEnd,
271,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:15:00:17 +0000,evalEnd,
272,146.203.121.6,GET /project/1/resources,19/Jul/2018:15:00:17 +0000,,
273,146.203.121.6,GET /project/1/resources,Thu Jul 19 15:00:17 2018,,
274,146.203.121.6,GET /newevaluation?resourceid=969,19/Jul/2018:15:00:51 +0000,evalStart,969
275,146.203.121.6,GET /newevaluation?resourceid=969,Thu Jul 19 15:00:51 2018,evalStart,969
276,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 15:01:18 2018,evalEnd,
277,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:15:01:18 +0000,evalEnd,
278,146.203.121.6,GET /project/1/resources,19/Jul/2018:15:01:18 +0000,,
279,146.203.121.6,GET /project/1/resources,Thu Jul 19 15:01:18 2018,,
280,146.203.121.6,GET /,19/Jul/2018:15:01:38 +0000,,
281,146.203.121.6,GET /,Thu Jul 19 15:01:38 2018,,
282,146.203.121.6,GET /login,Thu Jul 19 15:01:42 2018,,
283,146.203.121.6,GET /login,19/Jul/2018:15:01:42 +0000,,
284,186.42.198.218,GET /,19/Jul/2018:15:01:44 +0000,,
285,129.171.150.188,GET /about,19/Jul/2018:15:01:51 +0000,,
286,129.171.150.188,GET /about,Thu Jul 19 15:01:51 2018,,
287,129.171.150.188,GET /project/1/resources,19/Jul/2018:15:01:54 +0000,,
288,129.171.150.188,GET /project/1/resources,Thu Jul 19 15:01:54 2018,,
289,129.171.150.188,GET /project/1/myevaluations?,19/Jul/2018:15:01:56 +0000,,
290,129.171.150.188,GET /project/1/myevaluations?,Thu Jul 19 15:01:56 2018,,
291,129.171.150.188,GET /project/1/myevaluations/,19/Jul/2018:15:01:57 +0000,,
292,129.171.150.188,GET /project/1/myevaluations/,Thu Jul 19 15:01:57 2018,,
293,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:01:58 +0000,,
294,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:01:58 2018,,
295,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:10 +0000,,
296,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:10 2018,,
297,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:10 +0000,,
298,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:11 +0000,,
299,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:11 2018,,
300,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:11 +0000,,
301,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:13 +0000,,
302,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:13 2018,,
303,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:13 +0000,,
304,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:16 +0000,,
305,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:16 2018,,
306,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:16 +0000,,
307,146.203.121.6,GET /newevaluation?resourceid=2520,19/Jul/2018:15:02:16 +0000,evalStart,2520
308,146.203.121.6,GET /newevaluation?resourceid=2520,Thu Jul 19 15:02:16 2018,evalStart,2520
309,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:18 +0000,,
310,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:18 2018,,
311,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:19 +0000,,
312,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:21 +0000,,
313,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:20 2018,,
314,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:21 +0000,,
315,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:22 +0000,,
316,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:22 2018,,
317,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:22 +0000,,
318,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:35 +0000,,
319,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:35 2018,,
320,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:35 +0000,,
321,129.171.150.188,GET /project/1/resources?,19/Jul/2018:15:02:49 +0000,,
322,129.171.150.188,GET /project/1/resources?,Thu Jul 19 15:02:49 2018,,
323,129.171.150.188,GET /static/img/favicon.ico,19/Jul/2018:15:02:49 +0000,,
324,128.231.133.102,GET /favicon.ico,19/Jul/2018:15:03:05 +0000,,
325,128.231.133.102,GET /favicon.ico,Thu Jul 19 15:03:05 2018,,
326,128.231.133.102,GET /favicon.ico,19/Jul/2018:15:03:05 +0000,,
327,129.171.150.188,GET /newevaluation?resourceid=1164,19/Jul/2018:15:03:15 +0000,evalStart,1164
328,129.171.150.188,GET /newevaluation?resourceid=1164,Thu Jul 19 15:03:15 2018,evalStart,1164
329,146.203.121.6,POST /evaluationsubmitted,Thu Jul 19 15:03:52 2018,evalEnd,
330,146.203.121.6,POST /evaluationsubmitted,19/Jul/2018:15:03:53 +0000,evalEnd,
331,146.203.121.6,GET /project/1/resources,19/Jul/2018:15:03:53 +0000,,
332,146.203.121.6,GET /project/1/resources,Thu Jul 19 15:03:53 2018,,
