,ip,req,timestamp,marker,resourceID
0,146.203.130.213,GET /,19/Jul/2018:14:18:54 +0000,,
1,146.203.130.213,GET /,Thu Jul 19 14:18:53 2018,,
2,146.203.130.213,GET /static/img/icon-32.png,19/Jul/2018:14:18:54 +0000,,
3,146.203.121.6,GET /,19/Jul/2018:14:19:16 +0000,,
4,146.203.121.6,GET /,19/Jul/2018:14:19:16 +0000,,
5,146.203.121.6,GET /,Thu Jul 19 14:19:16 2018,,
6,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:19:16 +0000,,
7,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:19:17 +0000,,
8,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:19:18 +0000,,
9,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:19:18 2018,,
10,146.203.121.6,GET /newevaluation?resourceid=1943,19/Jul/2018:14:19:19 +0000,evalStart,1943
11,146.203.121.6,GET /newevaluation?resourceid=1943,Thu Jul 19 14:19:19 2018,evalStart,1943
12,146.203.121.6,GET /login?next=%2Fnewevaluation%3Fresourceid%3D1943,19/Jul/2018:14:19:19 +0000,,
13,146.203.121.6,GET /login?next=%2Fnewevaluation%3Fresourceid%3D1943,Thu Jul 19 14:19:19 2018,,
14,146.203.121.6,POST /login?next=%2Fnewevaluation%3Fresourceid%3D1943,Thu Jul 19 14:19:20 2018,,
15,146.203.121.6,POST /login?next=%2Fnewevaluation%3Fresourceid%3D1943,19/Jul/2018:14:19:20 +0000,,
16,146.203.121.6,GET /newevaluation?resourceid=1943,19/Jul/2018:14:19:20 +0000,evalStart,1943
17,146.203.121.6,GET /newevaluation?resourceid=1943,Thu Jul 19 14:19:20 2018,evalStart,1943
18,146.203.121.6,GET /newevaluation?resourceid=3533,19/Jul/2018:14:20:31 +0000,evalStart,3533
19,146.203.121.6,GET /newevaluation?resourceid=3533,Thu Jul 19 14:20:31 2018,evalStart,3533
20,146.203.130.213,GET /,19/Jul/2018:14:20:41 +0000,,
21,146.203.130.213,GET /,Thu Jul 19 14:20:41 2018,,
22,146.203.130.213,GET /,19/Jul/2018:14:20:43 +0000,,
23,146.203.130.213,GET /,Thu Jul 19 14:20:43 2018,,
24,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:21:20 +0000,,
25,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:21:20 +0000,,
26,146.203.121.6,GET /project/1/resources,Thu Jul 19 14:21:20 2018,,
27,146.203.121.6,GET /static/img/icon-32.png,19/Jul/2018:14:21:20 +0000,,
28,146.203.121.6,GET /static/img/favicon.ico,19/Jul/2018:14:21:21 +0000,,
29,146.203.130.213,GET /about,19/Jul/2018:14:21:22 +0000,,
30,146.203.130.213,GET /about,Thu Jul 19 14:21:22 2018,,
31,146.203.121.6,GET /project/1/resources,19/Jul/2018:14:21:25 +0000,,
